number,title,state,created_at,closed_at,cycle_time_hours,labels,is_task_issue,task_subtype,cobbler_run_id,is_problem_report,is_recurring,target,body_length
5661,"[measure] cmd/pr tests (srd110-pr R3.1, R4.1, R4.2, R4.3)",CLOSED,2026-05-29T17:32:35+00:00,2026-05-29T20:13:56+00:00,2.6892,cobbler-gen-generation-run44,True,measure,generation-run44,False,False,cmd/pr,2079
5660,"[measure] cmd/pr implementation (srd110-pr R5.1, R5.2)",CLOSED,2026-05-29T17:32:34+00:00,2026-05-29T20:13:54+00:00,2.6889,cobbler-gen-generation-run44,True,measure,generation-run44,False,False,cmd/pr,1321
5659,"[stitch] cmd/pr implementation (srd110-pr R3.1, R4.1, R4.2, R4.3)",CLOSED,2026-05-29T17:32:32+00:00,2026-05-29T20:13:52+00:00,2.6889,cobbler-in-progress;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/pr,1952
5658,[measure] generation-run44 #5658,CLOSED,2026-05-29T17:26:58+00:00,2026-05-29T17:32:54+00:00,0.0989,cobbler-gen-generation-run44,True,measure,generation-run44,False,False,,149
5657,"[stitch] cmd/ts implementation (srd004-ts R9.2, R10.1, R10.2, R10.3)",CLOSED,2026-05-29T16:53:19+00:00,2026-05-29T17:26:46+00:00,0.5575,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/ts,1604
5656,"[stitch] cmd/stty implementation (srd105-stty R7.2, R7.3)",CLOSED,2026-05-29T16:53:18+00:00,2026-05-29T17:20:34+00:00,0.4544,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/stty,1394
5655,"[stitch] cmd/ptx implementation (srd111-ptx R2.1, R2.2, R2.3)",CLOSED,2026-05-29T16:53:16+00:00,2026-05-29T17:17:43+00:00,0.4075,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/ptx,1486
5654,"[stitch] cmd/pr implementation (srd110-pr R2.1, R2.2, R2.3)",CLOSED,2026-05-29T16:53:15+00:00,2026-05-29T17:02:14+00:00,0.1497,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/pr,1471
5653,[measure] generation-run44 #5653,CLOSED,2026-05-29T16:48:55+00:00,2026-05-29T16:53:42+00:00,0.0797,cobbler-gen-generation-run44,True,measure,generation-run44,False,False,,149
5652,"[stitch] cmd/ts implementation (srd004-ts R7.3, R8.1, R8.2, R9.1)",CLOSED,2026-05-29T16:15:45+00:00,2026-05-29T16:48:47+00:00,0.5506,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/ts,1944
5651,"[stitch] cmd/ts implementation (srd004-ts R6.1, R6.2, R7.1, R7.2)",CLOSED,2026-05-29T16:15:44+00:00,2026-05-29T16:45:52+00:00,0.5022,cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/ts,1945
5650,"[stitch] cmd/ts implementation (srd004-ts R4.3, R5.1, R5.2, R5.3)",CLOSED,2026-05-29T16:15:43+00:00,2026-05-29T16:24:57+00:00,0.1539,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/ts,1945
5649,"[stitch] cmd/ts implementation (srd004-ts R3.3, R3.4, R4.1, R4.2)",CLOSED,2026-05-29T16:15:41+00:00,2026-05-29T16:19:06+00:00,0.0569,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/ts,1923
5648,[measure] generation-run44 #5648,CLOSED,2026-05-29T16:12:54+00:00,2026-05-29T16:16:00+00:00,0.0517,cobbler-gen-generation-run44,True,measure,generation-run44,False,False,,149
5647,"[stitch] cmd/ts implementation (srd004-ts R2.3, R2.4, R3.1, R3.2)",CLOSED,2026-05-28T19:36:45+00:00,2026-05-29T16:12:42+00:00,20.5992,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/ts,1704
5646,"[stitch] cmd/ts implementation (srd004-ts R1.5, R1.6, R2.1, R2.2)",CLOSED,2026-05-28T19:36:44+00:00,2026-05-29T16:08:25+00:00,20.5281,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/ts,1757
5645,"[stitch] cmd/stty implementation (srd105-stty R5.1, R6.1, R6.2, R7.1)",CLOSED,2026-05-28T19:36:43+00:00,2026-05-29T15:58:08+00:00,20.3569,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/stty,1772
5644,"[stitch] cmd/stty implementation (srd105-stty R2.1, R3.1, R3.2, R4.1)",CLOSED,2026-05-28T19:36:41+00:00,2026-05-29T15:48:38+00:00,20.1992,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/stty,1919
5643,[measure] generation-run44 #5643,CLOSED,2026-05-28T19:33:06+00:00,2026-05-28T19:37:01+00:00,0.0653,cobbler-gen-generation-run44,True,measure,generation-run44,False,False,,149
5642,"[stitch] cmd/ts implementation (srd004-ts R1.1, R1.2, R1.3, R1.4)",CLOSED,2026-05-28T17:42:31+00:00,2026-05-28T19:32:59+00:00,1.8411,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/ts,1535
5641,[stitch] cmd/stty implementation (srd105-stty R1.1),CLOSED,2026-05-28T17:42:29+00:00,2026-05-28T19:31:02+00:00,1.8092,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/stty,1355
5640,[stitch] cmd/ptx implementation (srd111-ptx R1.1),CLOSED,2026-05-28T17:42:28+00:00,2026-05-28T19:19:35+00:00,1.6186,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/ptx,1230
5639,[stitch] cmd/pr implementation (srd110-pr R1.1),CLOSED,2026-05-28T17:42:27+00:00,2026-05-28T17:48:04+00:00,0.0936,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/pr,1245
5638,[measure] generation-run44 #5638,CLOSED,2026-05-28T17:37:11+00:00,2026-05-28T17:42:50+00:00,0.0942,cobbler-ready;cobbler-gen-generation-run44,True,measure,generation-run44,False,False,,149
5637,"[stitch] cmd/vidir differential tests (srd114-vidir R2.1, R2.2)",CLOSED,2026-05-28T17:10:47+00:00,2026-05-28T17:37:04+00:00,0.4381,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/vidir,2335
5636,"[stitch] cmd/vidir implementation (srd114-vidir R1.1, R1.2, R1.3, R1.4)",CLOSED,2026-05-28T17:10:46+00:00,2026-05-28T17:23:38+00:00,0.2144,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/vidir,1986
5635,"[stitch] cmd/pee differential tests (srd113-pee R2.1, R2.2)",CLOSED,2026-05-28T17:10:44+00:00,2026-05-28T17:20:29+00:00,0.1625,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/pee,2101
5634,[stitch] generation-run44 #5634,CLOSED,2026-05-28T17:07:50+00:00,2026-05-28T17:11:03+00:00,0.0536,cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,,149
5633,"[stitch] cmd/pee implementation (srd113-pee R1.1, R1.2, R1.3)",CLOSED,2026-05-28T16:45:02+00:00,2026-05-28T17:07:38+00:00,0.3767,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/pee,1537
5632,"[stitch] cmd/chronic differential tests (srd112-chronic R2.1, R2.2, R2.3)",CLOSED,2026-05-28T16:45:01+00:00,2026-05-28T17:03:49+00:00,0.3133,cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/chronic,1836
5631,"[stitch] cmd/chronic implementation (srd112-chronic R1.1, R1.2, R1.3)",CLOSED,2026-05-28T16:45:00+00:00,2026-05-28T16:53:24+00:00,0.14,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/chronic,1578
5630,"[stitch] cmd/dircolors (srd109-dircolors R3.4, R3.5)",CLOSED,2026-05-28T16:44:59+00:00,2026-05-28T16:48:44+00:00,0.0625,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/dircolors,1744
5629,[measure] generation-run44 #5629,CLOSED,2026-05-28T16:38:30+00:00,2026-05-28T16:45:18+00:00,0.1133,cobbler-gen-generation-run44,True,measure,generation-run44,False,False,,149
5628,"[stitch] cmd/tsort differential tests (srd102-tsort R2.2, R2.3)",CLOSED,2026-05-28T16:06:10+00:00,2026-05-28T16:38:23+00:00,0.5369,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/tsort,1519
5627,"[measure] cmd/tsort differential tests (srd102-tsort R1.2, R1.3, R1.4)",CLOSED,2026-05-28T16:06:09+00:00,2026-05-28T16:32:57+00:00,0.4467,cobbler-gen-generation-run44,True,measure,generation-run44,False,False,cmd/tsort,1722
5626,"[stitch] cmd/tsort implementation (srd102-tsort R2.2, R2.3)",CLOSED,2026-05-28T16:06:07+00:00,2026-05-28T16:34:27+00:00,0.4722,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/tsort,1072
5625,"[stitch] cmd/tsort implementation (srd102-tsort R1.2, R1.3, R1.4)",CLOSED,2026-05-28T16:06:06+00:00,2026-05-28T16:32:51+00:00,0.4458,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/tsort,1347
5624,[stitch] generation-run44 #5624,CLOSED,2026-05-28T16:00:13+00:00,2026-05-28T16:06:28+00:00,0.1042,cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,,149
5623,"[stitch] cmd/dircolors: implement srd109 R3.4, R3.5",CLOSED,2026-05-27T21:39:43+00:00,2026-05-28T15:59:55+00:00,18.3367,cobbler-in-progress;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/dircolors,1709
5622,"[stitch] cmd/dircolors: implement srd109 R2.5, R3.1, R3.2, R3.3",CLOSED,2026-05-27T21:39:42+00:00,2026-05-27T21:58:19+00:00,0.3103,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/dircolors,1853
5621,"[stitch] cmd/dircolors: implement srd109 R2.1, R2.2, R2.3, R2.4",CLOSED,2026-05-27T21:39:41+00:00,2026-05-27T21:55:52+00:00,0.2697,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/dircolors,1836
5620,"[stitch] cmd/dircolors: implement srd109 R1.1, R1.2, R1.3, R1.4",CLOSED,2026-05-27T21:39:39+00:00,2026-05-27T21:48:21+00:00,0.145,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/dircolors,2046
5619,[measure] generation-run44 #5619,CLOSED,2026-05-27T21:35:16+00:00,2026-05-27T21:39:58+00:00,0.0783,cobbler-ready;cobbler-gen-generation-run44,True,measure,generation-run44,False,False,,149
5618,"[stitch] cmd/vdir: implement srd108 R2.3, R2.4",CLOSED,2026-05-27T21:02:48+00:00,2026-05-27T21:35:06+00:00,0.5383,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/vdir,1758
5617,"[stitch] cmd/df: implement srd106 R4.1, R4.2, R4.3",CLOSED,2026-05-27T21:02:46+00:00,2026-05-27T21:32:10+00:00,0.49,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/df,1823
5616,"[stitch] cmd/df: implement srd106 R3.5, R3.6, R3.7",CLOSED,2026-05-27T21:02:45+00:00,2026-05-27T21:29:10+00:00,0.4403,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/df,1719
5615,"[stitch] cmd/df: implement srd106 R3.1, R3.2, R3.3, R3.4",CLOSED,2026-05-27T21:02:43+00:00,2026-05-27T21:17:08+00:00,0.2403,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/df,1848
5614,[measure] generation-run44 #5614,CLOSED,2026-05-27T20:58:15+00:00,2026-05-27T21:03:06+00:00,0.0808,cobbler-ready;cobbler-gen-generation-run44,True,measure,generation-run44,False,False,,149
5613,"[stitch] cmd/vdir: implement srd108 R1.5, R1.6, R2.1, R2.2",CLOSED,2026-05-27T20:31:09+00:00,2026-05-27T20:58:08+00:00,0.4497,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/vdir,1480
5612,"[stitch] cmd/vdir: implement srd108 R1.1, R1.2, R1.3, R1.4",CLOSED,2026-05-27T20:31:08+00:00,2026-05-27T20:55:07+00:00,0.3997,cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/vdir,1551
5611,[stitch] cmd/dir: test srd107 R2.4,CLOSED,2026-05-27T20:31:06+00:00,2026-05-27T20:36:45+00:00,0.0942,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/dir,1389
5610,[stitch] cmd/dir: implement srd107 R2.4,CLOSED,2026-05-27T20:31:05+00:00,2026-05-27T20:32:49+00:00,0.0289,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/dir,1192
5609,[measure] generation-run44 #5609,CLOSED,2026-05-27T20:25:15+00:00,2026-05-27T20:31:25+00:00,0.1028,cobbler-gen-generation-run44,True,measure,generation-run44,False,False,,149
5608,"[stitch] cmd/dir: implement srd107 R1.5, R2.1, R2.2, R2.3",CLOSED,2026-05-27T16:03:28+00:00,2026-05-27T20:25:05+00:00,4.3603,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/dir,1874
5607,"[stitch] cmd/df: implement srd106 R1.5, R2.1, R2.2, R2.3",CLOSED,2026-05-27T16:03:27+00:00,2026-05-27T20:00:32+00:00,3.9514,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/df,1857
5606,"[stitch] cmd/dir: implement srd107 R1.1, R1.2, R1.3, R1.4",CLOSED,2026-05-27T16:03:26+00:00,2026-05-27T19:44:18+00:00,3.6811,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/dir,2006
5605,"[stitch] cmd/df: implement srd106 R1.1, R1.2, R1.3, R1.4",CLOSED,2026-05-27T16:03:24+00:00,2026-05-27T19:25:15+00:00,3.3642,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/df,1950
5604,[measure] generation-run44 #5604,CLOSED,2026-05-27T15:56:26+00:00,2026-05-27T16:03:51+00:00,0.1236,cobbler-gen-generation-run44,True,measure,generation-run44,False,False,,149
5603,"[stitch] cmd/test: implement srd104 R3.1, R3.2, R4.1, R4.2",CLOSED,2026-05-27T15:38:10+00:00,2026-05-27T15:56:14+00:00,0.3011,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/test,1550
5602,"[stitch] cmd/test: implement srd104 R1.1, R1.2, R2.1, R2.2",CLOSED,2026-05-27T15:38:08+00:00,2026-05-27T15:53:58+00:00,0.2639,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/test,1763
5601,"[stitch] cmd/pathchk: differential tests for srd103 R2.1, R2.2, R2.3",CLOSED,2026-05-27T15:38:06+00:00,2026-05-27T15:43:54+00:00,0.0967,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/pathchk,1951
5600,"[stitch] cmd/pathchk: implement srd103 R2.1, R2.2, R2.3",CLOSED,2026-05-27T15:38:05+00:00,2026-05-27T15:40:10+00:00,0.0347,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/pathchk,1474
5599,[measure] generation-run44 #5599,CLOSED,2026-05-27T15:34:57+00:00,2026-05-27T15:38:33+00:00,0.06,cobbler-gen-generation-run44,True,measure,generation-run44,False,False,,149
5598,[stitch] cmd/pathchk: pathname validation core (srd103 R1.1-R1.4),CLOSED,2026-05-27T15:18:50+00:00,2026-05-27T15:34:48+00:00,0.2661,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/pathchk,1503
5597,[stitch] cmd/tsort: differential tests (srd102 R1.1-R2.3),CLOSED,2026-05-27T15:18:48+00:00,2026-05-27T15:32:01+00:00,0.2203,cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/tsort,1652
5596,[measuring] generation-run44 task 0,CLOSED,2026-05-27T15:14:38+00:00,2026-05-27T15:27:55+00:00,0.2214,cobbler-ready;cobbler-gen-generation-run44,True,,generation-run44,False,False,,149
5595,"[stitch] cmd/shred srd099-shred R3.1, R3.2, R3.3 (implementation)",CLOSED,2026-05-27T14:59:41+00:00,2026-05-27T15:14:28+00:00,0.2464,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/shred,1939
5594,"[stitch] cmd/install srd101-install R3.1, R3.2, R3.3 (implementation)",CLOSED,2026-05-27T14:59:40+00:00,2026-05-27T15:12:57+00:00,0.2214,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/install,1741
5593,"[stitch] cmd/install srd101-install R2.1, R2.2, R2.3, R2.4 (implementation)",CLOSED,2026-05-27T14:59:38+00:00,2026-05-27T15:10:06+00:00,0.1744,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/install,1949
5592,"[stitch] cmd/install srd101-install R1.1, R1.2, R1.3, R1.4 (implementation)",CLOSED,2026-05-27T14:59:36+00:00,2026-05-27T15:06:53+00:00,0.1214,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/install,2135
5591,[measure] generation-run44 #5591,CLOSED,2026-05-27T14:55:09+00:00,2026-05-27T15:00:00+00:00,0.0808,cobbler-ready;cobbler-gen-generation-run44,True,measure,generation-run44,False,False,,149
5590,"[stitch] cmd/shred implementation -- srd099-shred R2.1, R2.2, R2.3, R2.4",CLOSED,2026-05-27T14:46:34+00:00,2026-05-27T14:55:00+00:00,0.1406,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/shred,1799
5589,"[stitch] cmd/shred implementation -- srd099-shred R1.1, R1.2, R1.3, R1.4",CLOSED,2026-05-27T14:46:33+00:00,2026-05-27T14:53:14+00:00,0.1114,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/shred,1791
5588,"[stitch] cmd/chroot implementation -- srd100-chroot R2.1, R2.2, R2.3",CLOSED,2026-05-27T14:46:31+00:00,2026-05-27T14:51:19+00:00,0.08,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/chroot,1635
5587,[stitch] cmd/shred (contract) -- srd099-shred,CLOSED,2026-05-27T14:46:30+00:00,2026-05-27T14:49:16+00:00,0.0461,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/shred,1999
5586,[measure] generation-run44 #5586,CLOSED,2026-05-27T14:40:34+00:00,2026-05-27T14:46:57+00:00,0.1064,cobbler-gen-generation-run44,True,measure,generation-run44,False,False,,149
5585,"[stitch] cmd/chroot implementation -- srd100-chroot R1.1, R1.2, R1.3",CLOSED,2026-05-27T14:22:03+00:00,2026-05-27T14:40:24+00:00,0.3058,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/chroot,1200
5584,[stitch] cmd/who differential tests -- srd097-who,CLOSED,2026-05-27T14:22:01+00:00,2026-05-27T14:36:42+00:00,0.2447,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/who,1620
5583,"[stitch] cmd/who implementation -- srd097-who R3.1, R3.2, R3.3",CLOSED,2026-05-27T14:21:59+00:00,2026-05-27T14:29:50+00:00,0.1308,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/who,1073
5582,"[stitch] cmd/who implementation -- srd097-who R2.1, R2.2, R2.3, R2.4",CLOSED,2026-05-27T14:21:58+00:00,2026-05-27T14:28:13+00:00,0.1042,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/who,1422
5581,[measure] generation-run44 #5581,CLOSED,2026-05-27T14:17:11+00:00,2026-05-27T14:22:27+00:00,0.0878,cobbler-gen-generation-run44,True,measure,generation-run44,False,False,,149
5580,"[measure] Implement cmd/chroot error handling and differential tests (srd100 R2.1, R2.2, R2.3)",CLOSED,2026-05-24T04:32:46+00:00,2026-05-27T14:16:54+00:00,81.7356,cobbler-gen-generation-run44,True,measure,generation-run44,False,False,cmd/chroot,1454
5579,"[measure] Implement cmd/chroot core functionality (srd100 R1.1, R1.2, R1.3)",CLOSED,2026-05-24T04:32:45+00:00,2026-05-27T14:16:52+00:00,81.7353,cobbler-ready;cobbler-gen-generation-run44,True,measure,generation-run44,False,False,cmd/chroot,1470
5578,"[measure] Implement cmd/who error handling and differential tests (srd097 R3.1, R3.2, R3.3)",CLOSED,2026-05-24T04:32:44+00:00,2026-05-27T14:16:49+00:00,81.7347,cobbler-gen-generation-run44,True,measure,generation-run44,False,False,cmd/who,1416
5577,"[stitch] Implement cmd/who extended session display (srd097 R2.1, R2.2, R2.3, R2.4)",CLOSED,2026-05-24T04:32:43+00:00,2026-05-27T14:16:46+00:00,81.7342,cobbler-in-progress;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/who,1516
5576,[stitch] generation-run44 #5576,CLOSED,2026-05-24T04:28:25+00:00,2026-05-24T04:33:02+00:00,0.0769,cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,,149
5575,"[stitch] Implement cmd/who core functionality (srd097 R1.1, R1.2, R1.3, R1.4)",CLOSED,2026-05-24T03:36:00+00:00,2026-05-24T04:28:16+00:00,0.8711,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/who,1539
5574,"[stitch] Implement cmd/pinky error handling and differential tests (srd098 R3.1, R3.2, R3.3)",CLOSED,2026-05-24T03:35:59+00:00,2026-05-24T04:21:52+00:00,0.7647,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/pinky,1754
5573,"[stitch] Implement cmd/pinky output formatting and flags (srd098 R2.1, R2.2, R2.3)",CLOSED,2026-05-24T03:35:58+00:00,2026-05-24T04:16:01+00:00,0.6675,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/pinky,1139
5572,"[stitch] Implement cmd/pinky core functionality (srd098 R1.1, R1.2, R1.3)",CLOSED,2026-05-24T03:35:57+00:00,2026-05-24T04:00:35+00:00,0.4106,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/pinky,1463
5571,[measure] generation-run44 #5571,CLOSED,2026-05-24T03:32:00+00:00,2026-05-24T03:36:12+00:00,0.07,cobbler-ready;cobbler-gen-generation-run44,True,measure,generation-run44,False,False,,149
