task_id,git_commit_count,final_target,final_srd_id,total_cost_usd,total_duration_s,total_tokens_input,productive_commits,zero_loc_commits,git_wasted_cost_proxy,first_commit_at,last_commit_at,span_hours
125,1,pkg/sys,,0.4717,85,362203,0,1,0.4717,2026-03-02T19:12:54+00:00,2026-03-02T19:12:54+00:00,0.0
126,1,cmd/du,srd008,1.5771,423,1653089,0,1,1.5771,2026-03-02T19:23:57+00:00,2026-03-02T19:23:57+00:00,0.0
127,1,pkg/sys,srd003,0.9296,227,708728,0,1,0.9296,2026-03-02T19:22:57+00:00,2026-03-02T19:22:57+00:00,0.0
128,2,pkg/testutils,,1.0397,163,749109,0,2,1.0397,2026-03-02T19:31:38+00:00,2026-03-02T19:31:38+00:00,0.0
131,1,pkg/testutils,srd004,0.8594,156,634623,0,1,0.8594,2026-03-02T19:53:03+00:00,2026-03-02T19:53:03+00:00,0.0
132,1,cmd/du,srd008,0.962,186,883371,0,1,0.962,2026-03-02T19:28:47+00:00,2026-03-02T19:28:47+00:00,0.0
134,1,cmd/du,srd009,0.8859,138,749846,0,1,0.8859,2026-03-02T19:33:33+00:00,2026-03-02T19:33:33+00:00,0.0
137,1,cmd/du,srd009,0.8692,152,787691,0,1,0.8692,2026-03-02T19:41:17+00:00,2026-03-02T19:41:17+00:00,0.0
153,1,pkg/format,,2.7854,841,1868877,0,1,2.7854,2026-03-02T23:13:11+00:00,2026-03-02T23:13:11+00:00,0.0
155,1,pkg/sys,srd002,2.4261,491,2576150,0,1,2.4261,2026-03-02T23:27:34+00:00,2026-03-02T23:27:34+00:00,0.0
156,1,pkg/testutils,srd004,1.1563,357,418055,0,1,1.1563,2026-03-02T23:36:31+00:00,2026-03-02T23:36:31+00:00,0.0
157,1,cmd/magefiles,srd011,0.8521,165,610521,0,1,0.8521,2026-03-02T23:42:15+00:00,2026-03-02T23:42:15+00:00,0.0
158,1,cmd/wc,,2.7859,888,2067951,0,1,2.7859,2026-03-03T01:55:13+00:00,2026-03-03T01:55:13+00:00,0.0
159,1,cmd/cat,srd006,1.3866,448,760300,0,1,1.3866,2026-03-03T02:06:15+00:00,2026-03-03T02:06:15+00:00,0.0
160,1,cmd/sponge,srd007,0.9548,161,932984,0,1,0.9548,2026-03-03T02:10:46+00:00,2026-03-03T02:10:46+00:00,0.0
161,1,cmd/du,srd008,2.9741,796,2544819,0,1,2.9741,2026-03-03T02:25:49+00:00,2026-03-03T02:25:49+00:00,0.0
162,1,pkg/testutils,srd001,0.7889,158,494055,0,1,0.7889,2026-03-03T02:30:04+00:00,2026-03-03T02:30:04+00:00,0.0
163,1,cmd/wc,srd005,1.2226,404,343407,0,1,1.2226,2026-03-03T02:38:05+00:00,2026-03-03T02:38:05+00:00,0.0
164,1,cmd/cat,srd006,0.7637,125,554168,0,1,0.7637,2026-03-03T02:42:12+00:00,2026-03-03T02:42:12+00:00,0.0
165,1,cmd/sponge,srd007,1.9696,692,831272,0,1,1.9696,2026-03-03T02:55:16+00:00,2026-03-03T02:55:16+00:00,0.0
166,1,cmd/du,srd009,1.2623,376,710232,0,1,1.2623,2026-03-03T03:02:38+00:00,2026-03-03T03:02:38+00:00,0.0
183,1,pkg/testutils,,0.6795,139,469307,0,1,0.6795,2026-03-03T15:51:13+00:00,2026-03-03T15:51:13+00:00,0.0
184,1,pkg/testutils,srd001,2.0572,674,1020455,0,1,2.0572,2026-03-03T16:06:17+00:00,2026-03-03T16:06:17+00:00,0.0
185,1,pkg/sys,,1.0346,272,743106,0,1,1.0346,2026-03-03T16:16:12+00:00,2026-03-03T16:16:12+00:00,0.0
186,1,pkg/format,,1.0585,291,759532,0,1,1.0585,2026-03-03T16:26:08+00:00,2026-03-03T16:26:08+00:00,0.0
187,1,pkg/sys,srd002,0.6988,106,601877,0,1,0.6988,2026-03-03T16:33:26+00:00,2026-03-03T16:33:26+00:00,0.0
188,1,cmd/wc,,1.9955,687,1202185,0,1,1.9955,2026-03-03T16:49:32+00:00,2026-03-03T16:49:32+00:00,0.0
189,1,cmd/wc,srd005,0.6935,126,666734,0,1,0.6935,2026-03-03T16:53:44+00:00,2026-03-03T16:53:44+00:00,0.0
190,1,cmd/cat,,1.536,473,1141220,0,1,1.536,2026-03-03T17:06:42+00:00,2026-03-03T17:06:42+00:00,0.0
191,1,cmd/cat,srd006,0.6599,100,540339,0,1,0.6599,2026-03-03T17:11:15+00:00,2026-03-03T17:11:15+00:00,0.0
192,1,pkg/format,srd003,1.0209,242,756227,0,1,1.0209,2026-03-03T17:17:53+00:00,2026-03-03T17:17:53+00:00,0.0
193,1,pkg/format,srd003,1.0049,112,1009108,0,1,1.0049,2026-03-03T17:29:18+00:00,2026-03-03T17:29:18+00:00,0.0
194,1,cmd/sponge,,1.8721,525,1201464,0,1,1.8721,2026-03-03T17:46:50+00:00,2026-03-03T17:46:50+00:00,0.0
195,1,cmd/du,,2.86,724,1977240,0,1,2.86,2026-03-03T18:04:56+00:00,2026-03-03T18:04:56+00:00,0.0
196,1,cmd/sponge,srd007,0.8686,142,703175,0,1,0.8686,2026-03-03T18:10:39+00:00,2026-03-03T18:10:39+00:00,0.0
197,1,cmd/du,srd009,0.7298,122,538392,0,1,0.7298,2026-03-03T18:16:21+00:00,2026-03-03T18:16:21+00:00,0.0
198,1,pkg/format,srd003,0.4131,47,246681,0,1,0.4131,2026-03-03T18:20:35+00:00,2026-03-03T18:20:35+00:00,0.0
199,1,cmd/version,srd011,0.6428,93,619990,0,1,0.6428,2026-03-03T18:26:51+00:00,2026-03-03T18:26:51+00:00,0.0
200,2,cmd/version,srd011,1.1382,106,575773,0,2,1.1382,2026-03-03T18:34:47+00:00,2026-03-03T18:34:47+00:00,0.0
202,1,cmd/true,srd020,0.519,82,417401,0,1,0.519,2026-03-03T18:44:09+00:00,2026-03-03T18:44:09+00:00,0.0
203,1,cmd/false,srd021,1.2768,122,1129426,0,1,1.2768,2026-03-03T18:47:44+00:00,2026-03-03T18:47:44+00:00,0.0
204,2,cmd/true,srd020,0.7158,97,615000,0,2,0.7158,2026-03-03T18:52:11+00:00,2026-03-03T18:52:11+00:00,0.0
205,1,cmd/true,srd020,0.3628,40,239282,0,1,0.3628,2026-03-03T19:03:42+00:00,2026-03-03T19:03:42+00:00,0.0
225,1,pkg/testutils,,1.2755,474,753856,0,1,1.2755,2026-03-03T23:36:29+00:00,2026-03-03T23:36:29+00:00,0.0
226,1,pkg/testutils,srd001,1.1363,426,442202,0,1,1.1363,2026-03-03T23:46:55+00:00,2026-03-03T23:46:55+00:00,0.0
227,1,pkg/format,,2.1147,694,1483942,0,1,2.1147,2026-03-04T00:03:25+00:00,2026-03-04T00:03:25+00:00,0.0
228,1,pkg/sys,srd002,1.2486,305,994829,0,1,1.2486,2026-03-04T00:11:42+00:00,2026-03-04T00:11:42+00:00,0.0
229,1,pkg/format,srd003,0.5576,134,470577,0,1,0.5576,2026-03-04T00:20:09+00:00,2026-03-04T00:20:09+00:00,0.0
230,1,pkg/format,srd003,0.5674,98,367257,0,1,0.5674,2026-03-04T00:24:12+00:00,2026-03-04T00:24:12+00:00,0.0
231,1,pkg/format,srd003,0.5167,70,278912,0,1,0.5167,2026-03-04T00:28:34+00:00,2026-03-04T00:28:34+00:00,0.0
232,1,pkg/sys,srd002,0.568,115,221826,0,1,0.568,2026-03-04T00:47:39+00:00,2026-03-04T00:47:39+00:00,0.0
233,1,cmd/cat,,1.7871,439,1526718,0,1,1.7871,2026-03-04T01:03:33+00:00,2026-03-04T01:03:33+00:00,0.0
234,1,cmd/sponge,,1.8715,627,1264944,0,1,1.8715,2026-03-04T01:18:51+00:00,2026-03-04T01:18:51+00:00,0.0
235,1,cmd/cat,srd006,0.9926,250,663902,0,1,0.9926,2026-03-04T01:26:47+00:00,2026-03-04T01:26:47+00:00,0.0
236,1,cmd/sponge,srd007,0.4862,68,284313,0,1,0.4862,2026-03-04T01:30:56+00:00,2026-03-04T01:30:56+00:00,0.0
237,1,cmd/du,,1.9819,430,1934819,0,1,1.9819,2026-03-04T01:47:12+00:00,2026-03-04T01:47:12+00:00,0.0
238,1,cmd/du,srd009,0.4973,72,339849,0,1,0.4973,2026-03-04T02:06:57+00:00,2026-03-04T02:06:57+00:00,0.0
239,1,cmd/du,srd009,0.772,130,636437,0,1,0.772,2026-03-04T02:15:50+00:00,2026-03-04T02:15:50+00:00,0.0
240,1,cmd/wc,srd005,1.3092,444,714589,0,1,1.3092,2026-03-04T02:24:07+00:00,2026-03-04T02:24:07+00:00,0.0
241,1,cmd/wc,srd005,0.5937,83,418020,0,1,0.5937,2026-03-04T02:28:18+00:00,2026-03-04T02:28:18+00:00,0.0
242,1,cmd/version,srd011,0.553,98,422465,0,1,0.553,2026-03-04T02:40:30+00:00,2026-03-04T02:40:30+00:00,0.0
243,1,cmd/ls,srd008,2.1926,159,2854865,0,1,2.1926,2026-03-04T02:52:27+00:00,2026-03-04T02:52:27+00:00,0.0
244,1,cmd/ls,srd008,0.5485,75,440688,0,1,0.5485,2026-03-04T02:55:51+00:00,2026-03-04T02:55:51+00:00,0.0
245,1,cmd/ls,srd008,1.1512,201,1022794,0,1,1.1512,2026-03-04T03:09:07+00:00,2026-03-04T03:09:07+00:00,0.0
246,1,pkg/sys,srd002,0.3229,47,145566,0,1,0.3229,2026-03-04T03:28:08+00:00,2026-03-04T03:28:08+00:00,0.0
247,1,cmd/ls,srd008,3.2067,375,4065867,0,1,3.2067,2026-03-04T03:44:14+00:00,2026-03-04T03:44:14+00:00,0.0
248,1,cmd/cat,srd006,0.7214,99,732106,0,1,0.7214,2026-03-04T03:51:03+00:00,2026-03-04T03:51:03+00:00,0.0
249,1,pkg/testutils,srd001,0.4203,45,261573,0,1,0.4203,2026-03-04T04:00:05+00:00,2026-03-04T04:00:05+00:00,0.0
250,1,cmd/cat,srd006,0.5858,68,468323,0,1,0.5858,2026-03-04T04:06:50+00:00,2026-03-04T04:06:50+00:00,0.0
253,1,cmd/cat,srd006,0.9057,104,888800,0,1,0.9057,2026-03-04T04:18:53+00:00,2026-03-04T04:18:53+00:00,0.0
254,1,,,0.9275,56,473112,0,1,0.9275,2026-03-04T04:24:07+00:00,2026-03-04T04:24:07+00:00,0.0
255,1,cmd/true,srd012,0.6825,143,573076,0,1,0.6825,2026-03-04T04:29:19+00:00,2026-03-04T04:29:19+00:00,0.0
256,1,cmd/false,srd013,0.4127,39,275222,0,1,0.4127,2026-03-04T04:33:07+00:00,2026-03-04T04:33:07+00:00,0.0
257,1,cmd/true,srd012,0.3587,42,241328,0,1,0.3587,2026-03-04T04:35:44+00:00,2026-03-04T04:35:44+00:00,0.0
258,1,cmd/du,srd009,0.8018,117,807773,0,1,0.8018,2026-03-04T04:46:00+00:00,2026-03-04T04:46:00+00:00,0.0
259,1,cmd/du,srd009,0.6114,55,524861,0,1,0.6114,2026-03-04T04:51:18+00:00,2026-03-04T04:51:18+00:00,0.0
260,1,cmd/magefiles,srd011,0.3561,50,231561,0,1,0.3561,2026-03-04T04:58:07+00:00,2026-03-04T04:58:07+00:00,0.0
280,1,pkg/format,,2.881,856,2140710,0,1,2.881,2026-03-05T00:15:16+00:00,2026-03-05T00:15:16+00:00,0.0
282,1,pkg/testutils,,1.8269,681,1118741,0,1,1.8269,2026-03-05T13:22:09+00:00,2026-03-05T13:22:09+00:00,0.0
290,1,cmd/version,,4.5059,789,5992101,0,1,4.5059,2026-03-05T17:51:02+00:00,2026-03-05T17:51:02+00:00,0.0
293,1,cmd/cat,,2.3934,661,1801240,0,1,2.3934,2026-03-05T22:41:54+00:00,2026-03-05T22:41:54+00:00,0.0
295,1,pkg/sys,,1.8673,368,1767145,0,1,1.8673,2026-03-05T22:51:12+00:00,2026-03-05T22:51:12+00:00,0.0
297,1,cmd/cat,,1.3409,424,621754,0,1,1.3409,2026-03-05T23:02:19+00:00,2026-03-05T23:02:19+00:00,0.0
299,1,cmd/sponge,,2.7761,624,1787517,0,1,2.7761,2026-03-06T03:34:06+00:00,2026-03-06T03:34:06+00:00,0.0
304,1,cmd/du,,3.6839,876,2435259,0,1,3.6839,2026-03-06T03:57:19+00:00,2026-03-06T03:57:19+00:00,0.0
306,1,cmd/wc,,3.5945,404,5135655,0,1,3.5945,2026-03-06T04:14:30+00:00,2026-03-06T04:14:30+00:00,0.0
308,1,,,3.2625,607,2488838,0,1,3.2625,2026-03-06T04:35:09+00:00,2026-03-06T04:35:09+00:00,0.0
310,1,,,2.7698,615,2177761,0,1,2.7698,2026-03-06T04:58:17+00:00,2026-03-06T04:58:17+00:00,0.0
331,1,cmd/true,,1.151,225,901086,0,1,1.151,2026-03-06T15:47:38+00:00,2026-03-06T15:47:38+00:00,0.0
332,1,cmd/yes,,0.87,109,877212,0,1,0.87,2026-03-06T15:50:55+00:00,2026-03-06T15:50:55+00:00,0.0
333,1,cmd/basename,,1.3595,251,1201221,0,1,1.3595,2026-03-06T15:56:24+00:00,2026-03-06T15:56:24+00:00,0.0
340,1,cmd/tee,,1.3456,256,1385121,1,0,0.0,2026-03-06T16:56:49+00:00,2026-03-06T16:56:49+00:00,0.0
341,1,cmd/tee,,1.0039,193,834095,1,0,0.0,2026-03-06T17:02:31+00:00,2026-03-06T17:02:31+00:00,0.0
343,1,cmd/head,,2.6919,593,2376255,1,0,0.0,2026-03-06T17:17:48+00:00,2026-03-06T17:17:48+00:00,0.0
344,1,cmd/seq,,1.7183,210,2084314,1,0,0.0,2026-03-06T17:22:28+00:00,2026-03-06T17:22:28+00:00,0.0
346,1,cmd/echo,,1.0722,172,1018305,1,0,0.0,2026-03-06T17:28:34+00:00,2026-03-06T17:28:34+00:00,0.0
347,1,cmd/tac,,1.5985,468,966263,1,0,0.0,2026-03-06T17:37:34+00:00,2026-03-06T17:37:34+00:00,0.0
348,1,cmd/nl,,2.1406,353,2664730,1,0,0.0,2026-03-06T17:44:39+00:00,2026-03-06T17:44:39+00:00,0.0
349,1,cmd/fold,,3.4484,498,4466998,1,0,0.0,2026-03-06T17:53:58+00:00,2026-03-06T17:53:58+00:00,0.0
351,1,cmd/expand,,1.4857,258,1608580,1,0,0.0,2026-03-06T18:01:45+00:00,2026-03-06T18:01:45+00:00,0.0
352,1,cmd/unexpand,,1.8111,252,1924629,1,0,0.0,2026-03-06T18:07:06+00:00,2026-03-06T18:07:06+00:00,0.0
354,1,cmd/cut,,0.8224,154,497072,1,0,0.0,2026-03-06T18:15:28+00:00,2026-03-06T18:15:28+00:00,0.0
355,1,cmd/paste,,1.9446,254,2503766,1,0,0.0,2026-03-06T18:21:01+00:00,2026-03-06T18:21:01+00:00,0.0
357,1,cmd/uniq,,1.6075,250,1575475,1,0,0.0,2026-03-06T18:33:51+00:00,2026-03-06T18:33:51+00:00,0.0
358,1,cmd/comm,,2.1468,529,1719170,1,0,0.0,2026-03-06T18:44:12+00:00,2026-03-06T18:44:12+00:00,0.0
360,1,cmd/md5sum,,2.4632,619,1622980,1,0,0.0,2026-03-06T19:01:46+00:00,2026-03-06T19:01:46+00:00,0.0
361,2,cmd/md5sum,,2.4689,247,1789489,1,1,0.4339,2026-03-06T19:06:58+00:00,2026-03-06T19:06:58+00:00,0.0
365,2,,,2.3183,297,2093630,1,1,0.629,2026-03-06T19:23:56+00:00,2026-03-06T19:23:56+00:00,0.0
371,2,cmd/md5sum,,1.4602,158,1125493,0,2,1.4602,2026-03-06T19:41:35+00:00,2026-03-06T19:41:35+00:00,0.0
375,1,cmd/md5sum,,0.9424,163,723427,1,0,0.0,2026-03-06T19:52:38+00:00,2026-03-06T19:52:38+00:00,0.0
387,2,cmd/ts,,2.6494,615,43,1,1,0.5064,2026-03-07T00:13:43+00:00,2026-03-07T00:13:43+00:00,0.0
389,1,cmd/ts,srd004,1.0021,177,27,1,0,0.0,2026-03-07T00:21:21+00:00,2026-03-07T00:21:21+00:00,0.0
390,2,cmd/ts,,1.8357,498,31,0,2,1.8357,2026-03-07T00:30:18+00:00,2026-03-07T00:30:18+00:00,0.0
393,2,cmd/ts,,1.2765,185,36,1,1,0.5526,2026-03-07T00:40:30+00:00,2026-03-07T00:40:30+00:00,0.0
395,1,cmd/ts,,0.8337,142,24,1,0,0.0,2026-03-07T00:48:06+00:00,2026-03-07T00:48:06+00:00,0.0
396,2,cmd/ts,,1.6261,362,29,1,1,0.535,2026-03-07T00:55:19+00:00,2026-03-07T00:55:19+00:00,0.0
407,1,pkg/sys,srd002,1.1674,227,901083,1,0,0.0,2026-03-07T04:14:27+00:00,2026-03-07T04:14:27+00:00,0.0
408,1,pkg/testutils,srd001,0.8351,112,742964,1,0,0.0,2026-03-07T04:18:07+00:00,2026-03-07T04:18:07+00:00,0.0
409,1,pkg/format,srd003,0.8703,184,500880,1,0,0.0,2026-03-07T04:22:23+00:00,2026-03-07T04:22:23+00:00,0.0
410,1,cmd/magefiles,srd011,0.8226,70,655709,1,0,0.0,2026-03-07T04:24:42+00:00,2026-03-07T04:24:42+00:00,0.0
411,1,pkg/sys,srd002,0.6111,75,436890,1,0,0.0,2026-03-07T04:27:31+00:00,2026-03-07T04:27:31+00:00,0.0
412,2,pkg/format,srd003,1.6317,182,980630,1,1,0.4646,2026-03-07T12:33:59+00:00,2026-03-07T12:33:59+00:00,0.0
414,1,pkg/testutils,srd001,1.7426,236,1750692,1,0,0.0,2026-03-07T12:41:36+00:00,2026-03-07T12:41:36+00:00,0.0
415,2,pkg/testutils,srd001,1.2596,170,681578,1,1,0.5636,2026-03-07T12:45:25+00:00,2026-03-07T12:45:25+00:00,0.0
419,1,cmd/cat,,0.7777,119,688488,1,0,0.0,2026-03-07T12:55:58+00:00,2026-03-07T12:55:58+00:00,0.0
420,1,cmd/cat,,0.632,75,443460,1,0,0.0,2026-03-07T12:59:10+00:00,2026-03-07T12:59:10+00:00,0.0
422,1,cmd/sponge,,0.3869,45,217258,1,0,0.0,2026-03-07T13:02:42+00:00,2026-03-07T13:02:42+00:00,0.0
423,1,cmd/sponge,,0.8369,161,603042,1,0,0.0,2026-03-07T13:07:28+00:00,2026-03-07T13:07:28+00:00,0.0
425,1,cmd/du,srd009,1.2947,459,842681,1,0,0.0,2026-03-07T13:33:21+00:00,2026-03-07T13:33:21+00:00,0.0
426,1,cmd/du,srd009,1.0139,247,488314,1,0,0.0,2026-03-07T13:38:05+00:00,2026-03-07T13:38:05+00:00,0.0
429,1,cmd/true,,0.4055,42,283451,1,0,0.0,2026-03-07T13:43:53+00:00,2026-03-07T13:43:53+00:00,0.0
430,1,cmd/yes,,0.919,227,639711,1,0,0.0,2026-03-07T13:49:32+00:00,2026-03-07T13:49:32+00:00,0.0
431,1,cmd/basename,,0.6872,87,525216,1,0,0.0,2026-03-07T13:54:14+00:00,2026-03-07T13:54:14+00:00,0.0
432,1,cmd/dirname,,0.6709,88,585638,1,0,0.0,2026-03-07T13:56:38+00:00,2026-03-07T13:56:38+00:00,0.0
434,1,cmd/tee,,0.7729,98,701826,1,0,0.0,2026-03-07T14:03:45+00:00,2026-03-07T14:03:45+00:00,0.0
436,1,cmd/head,,1.1571,186,886575,1,0,0.0,2026-03-07T14:16:48+00:00,2026-03-07T14:16:48+00:00,0.0
437,1,cmd/seq,,2.2662,182,2529480,1,0,0.0,2026-03-07T14:21:45+00:00,2026-03-07T14:21:45+00:00,0.0
439,1,cmd/wc,,2.2371,674,1530435,1,0,0.0,2026-03-07T14:37:08+00:00,2026-03-07T14:37:08+00:00,0.0
441,1,cmd/ls,srd008,2.8965,805,2346452,1,0,0.0,2026-03-07T14:57:33+00:00,2026-03-07T14:57:33+00:00,0.0
442,1,cmd/ls,srd008,2.2653,297,2755845,1,0,0.0,2026-03-07T15:03:58+00:00,2026-03-07T15:03:58+00:00,0.0
444,1,cmd/ls,srd008,3.2435,830,2583781,1,0,0.0,2026-03-07T15:29:36+00:00,2026-03-07T15:29:36+00:00,0.0
445,1,cmd/ls,srd008,2.3001,293,2784262,1,0,0.0,2026-03-07T15:35:58+00:00,2026-03-07T15:35:58+00:00,0.0
446,1,cmd/ls,srd008,1.9042,343,1934036,1,0,0.0,2026-03-07T15:42:54+00:00,2026-03-07T15:42:54+00:00,0.0
448,1,cmd/echo,,0.4552,66,296684,1,0,0.0,2026-03-07T15:54:38+00:00,2026-03-07T15:54:38+00:00,0.0
449,1,cmd/tac,,1.2571,310,787862,1,0,0.0,2026-03-07T16:01:21+00:00,2026-03-07T16:01:21+00:00,0.0
450,1,cmd/nl,,2.4286,315,1489229,1,0,0.0,2026-03-07T16:08:10+00:00,2026-03-07T16:08:10+00:00,0.0
451,1,cmd/fold,,1.5963,369,1423829,1,0,0.0,2026-03-07T16:16:10+00:00,2026-03-07T16:16:10+00:00,0.0
453,1,cmd/expand,,0.9627,177,788790,1,0,0.0,2026-03-07T16:24:08+00:00,2026-03-07T16:24:08+00:00,0.0
454,1,cmd/unexpand,,0.863,141,701538,1,0,0.0,2026-03-07T16:27:32+00:00,2026-03-07T16:27:32+00:00,0.0
456,1,cmd/cut,,1.7745,250,1958618,1,0,0.0,2026-03-07T16:36:52+00:00,2026-03-07T16:36:52+00:00,0.0
457,1,cmd/paste,,2.1932,216,799539,1,0,0.0,2026-03-07T16:41:39+00:00,2026-03-07T16:41:39+00:00,0.0
459,1,cmd/uniq,,1.9312,183,2211519,1,0,0.0,2026-03-07T17:21:24+00:00,2026-03-07T17:21:24+00:00,0.0
460,2,cmd/comm,,2.5769,626,1573905,1,1,0.6932,2026-03-07T17:30:46+00:00,2026-03-07T17:30:46+00:00,0.0
464,1,cmd/md5sum,,1.2565,193,1154995,1,0,0.0,2026-03-07T17:44:18+00:00,2026-03-07T17:44:18+00:00,0.0
465,1,cmd/sha1sum,,0.6223,98,277879,1,0,0.0,2026-03-07T17:47:20+00:00,2026-03-07T17:47:20+00:00,0.0
466,1,cmd/sha256sum,,1.3054,149,1198630,1,0,0.0,2026-03-07T17:50:59+00:00,2026-03-07T17:50:59+00:00,0.0
467,1,cmd/sha512sum,,1.1045,194,873214,1,0,0.0,2026-03-07T17:55:11+00:00,2026-03-07T17:55:11+00:00,0.0
469,1,cmd/ts,,0.8948,183,539389,1,0,0.0,2026-03-07T18:01:13+00:00,2026-03-07T18:01:13+00:00,0.0
485,2,pkg/testutils,srd001,1.716,432,918040,1,1,0.3187,2026-03-07T20:54:34+00:00,2026-03-07T20:54:34+00:00,0.0
487,1,pkg/sys,srd002,1.2222,211,1210691,1,0,0.0,2026-03-07T21:00:51+00:00,2026-03-07T21:00:51+00:00,0.0
488,1,pkg/format,srd003,0.5634,89,365071,1,0,0.0,2026-03-07T21:03:43+00:00,2026-03-07T21:03:43+00:00,0.0
489,1,cmd/cat,srd004,1.0911,167,1071437,1,0,0.0,2026-03-07T21:09:07+00:00,2026-03-07T21:09:07+00:00,0.0
490,1,cmd/sponge,srd005,1.1373,216,966730,1,0,0.0,2026-03-07T21:16:15+00:00,2026-03-07T21:16:15+00:00,0.0
491,1,cmd/du,srd009,2.2375,545,1930378,1,0,0.0,2026-03-07T21:26:40+00:00,2026-03-07T21:26:40+00:00,0.0
492,1,,,1.2892,229,936264,1,0,0.0,2026-03-07T21:32:50+00:00,2026-03-07T21:32:50+00:00,0.0
493,2,pkg/testutils,srd001,2.3347,211,1950752,1,1,0.7949,2026-03-07T21:36:30+00:00,2026-03-07T21:36:30+00:00,0.0
499,1,cmd/tee,,0.8606,68,580853,1,0,0.0,2026-03-07T21:49:32+00:00,2026-03-07T21:49:32+00:00,0.0
500,1,cmd/head,,1.1705,155,1121617,1,0,0.0,2026-03-07T21:53:27+00:00,2026-03-07T21:53:27+00:00,0.0
501,2,cmd/tee,,1.5406,240,1164601,1,1,0.4264,2026-03-07T21:58:08+00:00,2026-03-07T21:58:08+00:00,0.0
